,gene_name,gene_num
0,TSPAN6,ENSG00000000003
1,TNMD,ENSG00000000005
2,DPM1,ENSG00000000419
3,SCYL3,ENSG00000000457
4,C1orf112,ENSG00000000460
5,FGR,ENSG00000000938
6,CFH,ENSG00000000971
7,FUCA2,ENSG00000001036
8,GCLC,ENSG00000001084
9,NFYA,ENSG00000001167
10,STPG1,ENSG00000001460
11,NIPAL3,ENSG00000001461
12,LAS1L,ENSG00000001497
13,ENPP4,ENSG00000001561
14,SEMA3F,ENSG00000001617
15,CFTR,ENSG00000001626
16,ANKIB1,ENSG00000001629
17,CYP51A1,ENSG00000001630
18,KRIT1,ENSG00000001631
19,RAD52,ENSG00000002016
20,MYH16,ENSG00000002079
21,BAD,ENSG00000002330
22,LAP3,ENSG00000002549
23,CD99,ENSG00000002586
24,HS3ST1,ENSG00000002587
25,AOC1,ENSG00000002726
26,WNT16,ENSG00000002745
27,HECW1,ENSG00000002746
28,MAD1L1,ENSG00000002822
29,LASP1,ENSG00000002834
30,SNX11,ENSG00000002919
31,TMEM176A,ENSG00000002933
32,M6PR,ENSG00000003056
33,KLHL13,ENSG00000003096
34,CYP26B1,ENSG00000003137
35,ICA1,ENSG00000003147
36,DBNDD1,ENSG00000003249
37,ALS2,ENSG00000003393
38,CASP10,ENSG00000003400
39,CFLAR,ENSG00000003402
40,TFPI,ENSG00000003436
41,NDUFAF7,ENSG00000003509
42,RBM5,ENSG00000003756
43,MTMR7,ENSG00000003987
44,SLC7A2,ENSG00000003989
45,ARF5,ENSG00000004059
46,SARM1,ENSG00000004139
47,POLDIP2,ENSG00000004142
48,PLXND1,ENSG00000004399
49,AK2,ENSG00000004455
50,CD38,ENSG00000004468
51,FKBP4,ENSG00000004478
52,KDM1A,ENSG00000004487
53,RBM6,ENSG00000004534
54,CAMKK1,ENSG00000004660
55,RECQL,ENSG00000004700
56,VPS50,ENSG00000004766
57,HSPB6,ENSG00000004776
58,ARHGAP33,ENSG00000004777
59,NDUFAB1,ENSG00000004779
60,PDK4,ENSG00000004799
61,SLC22A16,ENSG00000004809
62,ZMYND10,ENSG00000004838
63,ABCB5,ENSG00000004846
64,ARX,ENSG00000004848
65,SLC25A13,ENSG00000004864
66,ST7,ENSG00000004866
67,CDC27,ENSG00000004897
68,SLC4A1,ENSG00000004939
69,CALCR,ENSG00000004948
70,HCCS,ENSG00000004961
71,DVL2,ENSG00000004975
72,PRSS22,ENSG00000005001
73,UPF1,ENSG00000005007
74,SKAP2,ENSG00000005020
75,SLC25A5,ENSG00000005022
76,MCUB,ENSG00000005059
77,HOXA11,ENSG00000005073
78,POLR2J,ENSG00000005075
79,DHX33,ENSG00000005100
80,MEOX1,ENSG00000005102
81,THSD7A,ENSG00000005108
82,LIG3,ENSG00000005156
83,RPAP3,ENSG00000005175
84,ACSM3,ENSG00000005187
85,AC004381.6,ENSG00000005189
86,CIAPIN1,ENSG00000005194
87,SPPL2B,ENSG00000005206
88,FAM214B,ENSG00000005238
89,COPZ2,ENSG00000005243
90,PRKAR2B,ENSG00000005249
91,MSL3,ENSG00000005302
92,CREBBP,ENSG00000005339
93,TSPOAP1,ENSG00000005379
94,MPO,ENSG00000005381
95,PON1,ENSG00000005421
96,GCFC2,ENSG00000005436
97,WDR54,ENSG00000005448
98,CROT,ENSG00000005469
99,ABCB4,ENSG00000005471
100,KMT2E,ENSG00000005483
101,RHBDD2,ENSG00000005486
102,SOX8,ENSG00000005513
103,IBTK,ENSG00000005700
104,ZNF195,ENSG00000005801
105,MYCBP2,ENSG00000005810
106,FBXL3,ENSG00000005812
107,ITGAL,ENSG00000005844
108,PDK2,ENSG00000005882
109,ITGA3,ENSG00000005884
110,ZFX,ENSG00000005889
111,LAMP2,ENSG00000005893
112,ITGA2B,ENSG00000005961
113,ASB4,ENSG00000005981
114,GDE1,ENSG00000006007
115,C19orf60,ENSG00000006015
116,CRLF1,ENSG00000006016
117,OSBPL7,ENSG00000006025
118,TMEM98,ENSG00000006042
119,YBX2,ENSG00000006047
120,KRT33A,ENSG00000006059
121,MAP3K14,ENSG00000006062
122,ABCC8,ENSG00000006071
123,CACNG3,ENSG00000006116
124,TMEM132A,ENSG00000006118
125,AP2B1,ENSG00000006125
126,TAC1,ENSG00000006128
127,ZNF263,ENSG00000006194
128,CX3CL1,ENSG00000006210
129,SPATA20,ENSG00000006282
130,CACNA1G,ENSG00000006283
131,TNFRSF12A,ENSG00000006327
132,DLX6,ENSG00000006377
133,MAP3K9,ENSG00000006432
134,RALA,ENSG00000006451
